Player Name,Team Name,Playing Role,Batting Style,Batting Position,Runs_Scored,Batting Average,Strike_rate,Total_hundreds,Total_fifties,Bowling Style,Runs_Conceded,Total_Wickets_Taken,Economy,Bowling Strike Rate,Bowling Average
AB de Villiers,South Africa,Wicketkeeper Batter,Right hand Bat,4,6343,63.43,109.93,20,33,Right arm Medium,180,7,6.0,25.71,25.71
Aamer Yamin,Pakistan,Allrounder,Right hand Bat,8,95,95.0,98.96,0,1,Right arm Medium,154,2,5.9,78.0,77.0
Aaron Finch,Australia,Top order Batter,Right hand Bat,2,4527,41.15,89.86,15,24,Slow Left arm Orthodox,239,4,5.5,66.5,59.75
Aaron Phangiso,South Africa,Bowler,Right hand Bat,9,81,7.36,50.0,0,0,Slow Left arm Orthodox,829,26,4.6,41.58,31.88
Aaron Redmond,New Zealand,Top order Batter,Right hand Bat,3,16,16.0,53.33,0,0,Legbreak,0,0,0.0,0.0,0.0
Abdul Razzaq,Pakistan,Allrounder,Right hand Bat,8,490,30.62,97.03,1,1,Right arm Fast medium,659,15,4.7,55.87,43.93
Abdullah Mazari,Afghanistan,Bowler,Left hand Bat,9,3,3.0,18.75,0,0,Slow Left arm Orthodox,49,2,3.1,48.0,24.5
Abdur Razzak,Bangladesh,Bowler,Left hand Bat,9,292,12.17,89.85,0,1,Slow Left arm Orthodox,2635,74,4.8,44.76,35.61
Abdur Rehman,Pakistan,Bowler,Left hand Bat,8,83,8.3,62.41,0,0,Slow Left arm Orthodox,705,18,4.1,57.22,39.17
Abhimanyu Mithun,India,Bowler,Right hand Bat,10,51,17.0,92.73,0,0,Right arm Medium,203,3,6.8,60.0,67.67
Abid Ali,Pakistan,Opening Batter,Right hand Bat,2,191,47.75,97.45,1,1,Legbreak,0,0,0.0,0.0,0.0
Abu Hider,Bangladesh,Bowler,Right hand Bat,10,1,1.0,9.09,0,0,Left arm Fast medium,89,3,4.9,36.0,29.67
Abul Hasan,Bangladesh,Bowler,Left hand Bat,8,11,3.67,68.75,0,0,Right arm Medium fast,244,0,6.8,0.0,0.0
Adam Milne,New Zealand,Bowler,Right hand Bat,9,157,17.44,99.37,0,0,Right arm Fast,1514,38,5.3,44.89,39.84
Adam Voges,Australia,Top order Batter,Right hand Bat,5,617,51.42,86.41,1,2,Slow Left arm Orthodox,131,4,4.7,42.0,32.75
Adam Zampa,Australia,Bowler,Right hand Bat,10,100,6.67,62.89,0,0,Legbreak Googly,2350,63,5.8,38.92,37.3
Adil Rashid,England,Bowler,Right hand Bat,9,528,18.86,101.54,0,1,Legbreak,4293,140,5.6,32.72,30.66
Adnan Akmal,Pakistan,Wicketkeeper Batter,Right hand Bat,8,62,20.67,69.66,0,0,,0,0,0.0,0.0,0.0
Adrian Barath,West Indies,Opening Batter,Right hand Bat,2,281,21.62,58.18,0,1,Right arm Offbreak,0,0,0.0,0.0,0.0
Afsar Zazai,Afghanistan,Wicketkeeper Batter,Right hand Bat,5,264,17.6,54.1,0,2,,0,0,0.0,0.0,0.0
Aftab Ahmed,Bangladesh,Opening Batter,Right hand Bat,3,80,16.0,72.73,0,0,Right arm Medium,0,0,0.0,0.0,0.0
Aftab Alam,Afghanistan,Bowler,Right hand Bat,10,80,11.43,74.77,0,0,Right arm Medium fast,1033,41,5.0,30.56,25.2
Ahmed Shehzad,Pakistan,Opening Batter,Right hand Bat,2,2474,32.55,72.83,6,14,Legbreak,140,2,7.5,57.5,70.0
Aiden Markram,South Africa,Opening Batter,Right hand Bat,3,638,29.0,85.64,0,2,Right arm Offbreak,132,3,6.6,40.0,44.0
