teamInnings,Batting Position,Batsman Name,Dismissal,Runs,Balls,M,4s,6s,Strike Rate,Match id
Bangladesh,1,Tamim Iqbal,c Lakmal b Dilshan,40,46,58,5,0,86.95,2937
Bangladesh,2,Imrul Kayes,c Samaraweera b Kulasekara,23,37,52,2,0,62.16,2937
Bangladesh,3,Mohammad Ashraful,run out (†Sangakkara),75,94,148,6,0,79.78,2937
Bangladesh,4,Raqibul Hasan,c Samaraweera b Lakmal,0,6,6,0,0,0.00,2937
Bangladesh,5,Shakib Al Hasan (c),c Welegedara b Lakmal,1,7,7,0,0,14.28,2937
Bangladesh,6,Mushfiqur Rahim †,lbw b Randiv,35,52,54,3,0,67.30,2937
Bangladesh,7,Mahmudullah,lbw b Randiv,45,47,66,3,1,95.74,2937
Bangladesh,8,Naeem Islam,not out,22,9,14,1,2,244.44,2937
Bangladesh,9,Abdur Razzak,not out,1,2,8,0,0,50.00,2937
Sri Lanka,1,Upul Tharanga,c †Mushfiqur Rahim b Rubel Hossain,14,15,17,3,0,93.33,2937
Sri Lanka,2,Tillakaratne Dilshan,c Naeem Islam b Mahmudullah,104,122,183,12,0,85.24,2937
Sri Lanka,3,Kumar Sangakkara (c)†,c †Mushfiqur Rahim b Shafiul Islam,74,73,105,10,0,101.36,2937
Sri Lanka,4,Thilan Samaraweera,not out,41,54,66,5,0,75.92,2937
Sri Lanka,5,Chamara Silva,not out,4,7,11,0,0,57.14,2937
India,1,Gautam Gambhir,b Welegedara,8,12,13,1,0,66.66,2938
India,2,Virender Sehwag,c Thirimanne b Welegedara,47,31,44,9,0,151.61,2938
India,3,Virat Kohli,c †Sangakkara b Welegedara,9,12,19,1,0,75.00,2938
India,4,Yuvraj Singh,c Lakmal b Perera,74,84,127,6,2,88.09,2938
India,5,MS Dhoni (c)†,c †Sangakkara b Perera,37,70,85,3,0,52.85,2938
India,6,Suresh Raina,b Welegedara,35,46,66,4,0,76.08,2938
India,7,Ravindra Jadeja,c Kandamby b Thushara,39,34,41,3,1,114.70,2938
India,8,Harbhajan Singh,c Perera b Thushara,1,2,2,0,0,50.00,2938
India,9,Zaheer Khan,b Welegedara,2,4,4,0,0,50.00,2938
India,10,Ashish Nehra,not out,4,6,10,0,0,66.66,2938
India,11,Sreesanth,not out,1,3,2,0,0,33.33,2938
