match,teamInnings,Bowler Name,Over,Maiden,Runs,Wickets,Economy,dots,fours,sixes,wides,no balls,Match Id
Bangladesh VsSri Lanka,Sri Lanka,Nuwan Kulasekara,10,1,46,1,4.60,28,2,0,1,0,2937
Bangladesh VsSri Lanka,Sri Lanka,Chanaka Welegedara,8,0,39,0,4.87,27,5,0,1,0,2937
Bangladesh VsSri Lanka,Sri Lanka,Tillakaratne Dilshan,3,0,16,1,5.33,11,1,0,1,0,2937
Bangladesh VsSri Lanka,Sri Lanka,Suranga Lakmal,9,1,63,2,7.00,32,8,2,5,0,2937
Bangladesh VsSri Lanka,Sri Lanka,Suraj Randiv,10,0,51,2,5.10,28,3,1,2,0,2937
Bangladesh VsSri Lanka,Sri Lanka,Thilina Kandamby,5,0,21,0,4.20,15,1,0,0,0,2937
Bangladesh VsSri Lanka,Sri Lanka,Muthumudalige Pushpakumara,5,0,21,0,4.20,12,0,0,1,0,2937
Bangladesh VsSri Lanka,Bangladesh,Shafiul Islam,5,0,39,1,7.80,15,7,0,0,1,2937
Bangladesh VsSri Lanka,Bangladesh,Rubel Hossain,7,0,47,1,6.71,24,8,0,2,1,2937
Bangladesh VsSri Lanka,Bangladesh,Shakib Al Hasan,10,0,43,0,4.30,33,5,0,1,0,2937
Bangladesh VsSri Lanka,Bangladesh,Abdur Razzak,10,0,37,0,3.70,33,1,0,2,0,2937
Bangladesh VsSri Lanka,Bangladesh,Mahmudullah,6,0,32,1,5.33,14,3,0,0,0,2937
Bangladesh VsSri Lanka,Bangladesh,Naeem Islam,5.5,0,39,0,6.68,13,4,0,3,0,2937
Bangladesh VsSri Lanka,Bangladesh,Mohammad Ashraful,1,0,11,0,11.00,2,2,0,1,0,2937
India VsSri Lanka,Sri Lanka,Chanaka Welegedara,10,1,66,5,6.60,33,7,0,4,4,2938
India VsSri Lanka,Sri Lanka,Suranga Lakmal,8,1,48,0,6.00,23,7,0,1,0,2938
India VsSri Lanka,Sri Lanka,Thilan Thushara,10,0,62,2,6.20,29,7,1,1,0,2938
India VsSri Lanka,Sri Lanka,Suraj Randiv,10,0,36,0,3.60,35,2,0,0,0,2938
India VsSri Lanka,Sri Lanka,Thilina Kandamby,4,1,22,0,5.50,14,0,2,1,0,2938
India VsSri Lanka,Sri Lanka,Thilan Samaraweera,2,0,12,0,6.00,4,1,0,0,0,2938
India VsSri Lanka,Sri Lanka,Thisara Perera,6,0,27,2,4.50,21,3,0,1,0,2938
India VsSri Lanka,India,Zaheer Khan,9,0,57,0,6.33,29,7,0,3,0,2938
India VsSri Lanka,India,Ashish Nehra,8,0,55,0,6.87,29,7,1,2,3,2938
India VsSri Lanka,India,Sreesanth,7,0,47,1,6.71,22,7,0,1,2,2938
India VsSri Lanka,India,Harbhajan Singh,10,1,47,3,4.70,27,3,0,0,0,2938
India VsSri Lanka,India,Virender Sehwag,5,0,26,0,5.20,12,1,0,0,0,2938
India VsSri Lanka,India,Ravindra Jadeja,4,0,31,0,7.75,11,5,0,0,0,2938
India VsSri Lanka,India,Yuvraj Singh,5,0,19,0,3.80,14,0,0,2,0,2938
Bangladesh VsIndia,India,Ashish Nehra,6,0,44,1,7.33,21,4,2,2,2,2939
Bangladesh VsIndia,India,Sreesanth,8,0,54,1,6.75,26,7,0,2,2,2939
Bangladesh VsIndia,India,Zaheer Khan,6,0,43,0,7.16,13,4,0,2,0,2939
Bangladesh VsIndia,India,Harbhajan Singh,9,0,56,1,6.22,25,6,0,2,0,2939
Bangladesh VsIndia,India,Yuvraj Singh,10,0,33,1,3.30,33,1,0,1,0,2939
Bangladesh VsIndia,India,Ravindra Jadeja,9,0,45,1,5.00,28,5,0,0,0,2939
Bangladesh VsIndia,India,Virender Sehwag,2,0,17,0,8.50,7,0,1,2,0,2939
Bangladesh VsIndia,Bangladesh,Syed Rasel,9.3,0,58,1,6.10,33,8,0,2,2,2939
Bangladesh VsIndia,Bangladesh,Abdur Razzak,9,0,66,0,7.33,20,7,0,4,0,2939
Bangladesh VsIndia,Bangladesh,Rubel Hossain,9,0,60,1,6.66,23,5,1,3,1,2939
Bangladesh VsIndia,Bangladesh,Shakib Al Hasan,10,0,45,1,4.50,26,1,0,1,0,2939
Bangladesh VsIndia,Bangladesh,Naeem Islam,2,0,16,0,8.00,1,1,0,0,0,2939
Bangladesh VsIndia,Bangladesh,Mahmudullah,7,0,38,0,5.42,15,2,0,1,0,2939
Bangladesh VsIndia,Bangladesh,Mohammad Ashraful,1,0,8,0,8.00,1,1,0,0,0,2939
Bangladesh VsSri Lanka,Sri Lanka,Nuwan Kulasekara,10,1,48,2,4.80,39,7,0,2,0,2940
Bangladesh VsSri Lanka,Sri Lanka,Thilan Thushara,9,0,67,1,7.44,26,5,2,5,0,2940
Bangladesh VsSri Lanka,Sri Lanka,Suraj Randiv,10,1,40,2,4.00,33,4,0,0,0,2940
Bangladesh VsSri Lanka,Sri Lanka,Thisara Perera,10,0,32,2,3.20,34,0,0,1,0,2940
Bangladesh VsSri Lanka,Sri Lanka,Malinga Bandara,10,0,44,0,4.40,27,1,0,1,0,2940
Bangladesh VsSri Lanka,Sri Lanka,Thilan Samaraweera,1,0,17,0,17.00,0,0,2,0,0,2940
Bangladesh VsSri Lanka,Bangladesh,Syed Rasel,6,0,37,0,6.16,19,6,0,0,0,2940
Bangladesh VsSri Lanka,Bangladesh,Rubel Hossain,8,0,59,0,7.37,20,8,0,1,0,2940
Bangladesh VsSri Lanka,Bangladesh,Naeem Islam,5,0,35,1,7.00,12,4,0,1,0,2940
Bangladesh VsSri Lanka,Bangladesh,Shakib Al Hasan,8,2,27,0,3.37,37,5,0,1,0,2940
Bangladesh VsSri Lanka,Bangladesh,Mahmudullah,2,0,16,0,8.00,5,3,0,0,0,2940
Bangladesh VsSri Lanka,Bangladesh,Abdur Razzak,8,0,41,0,5.12,20,3,0,4,0,2940
Bangladesh VsSri Lanka,Bangladesh,Mohammad Ashraful,5,0,29,0,5.80,12,3,0,0,0,2940
Bangladesh VsSri Lanka,Bangladesh,Tamim Iqbal,0.5,0,7,0,8.40,2,1,0,1,0,2940
Bangladesh VsIndia,India,Sudeep Tyagi,6,2,24,1,4.00,28,5,0,0,0,2942
Bangladesh VsIndia,India,Sreesanth,8,0,53,1,6.62,24,7,0,0,3,2942
Bangladesh VsIndia,India,Ashish Nehra,10,1,58,2,5.80,32,6,1,1,0,2942
Bangladesh VsIndia,India,Amit Mishra,10,0,54,0,5.40,32,5,1,3,0,2942
Bangladesh VsIndia,India,Yuvraj Singh,10,1,33,1,3.30,36,2,0,1,0,2942
Bangladesh VsIndia,India,Ravindra Jadeja,6,1,23,0,3.83,20,0,1,0,0,2942
Bangladesh VsIndia,Bangladesh,Syed Rasel,7,0,37,0,5.28,16,2,0,0,0,2942
Bangladesh VsIndia,Bangladesh,Shafiul Islam,10,1,63,1,6.30,33,10,0,2,0,2942
Bangladesh VsIndia,Bangladesh,Abdur Razzak,7,0,40,0,5.71,15,1,1,0,0,2942
Bangladesh VsIndia,Bangladesh,Shakib Al Hasan,10,0,58,1,5.80,27,7,0,0,0,2942
Bangladesh VsIndia,Bangladesh,Naeem Islam,8,0,35,2,4.37,23,2,0,1,0,2942
Bangladesh VsIndia,Bangladesh,Mahmudullah,1,0,10,0,10.00,2,2,0,0,0,2942
India VsSri Lanka,Sri Lanka,Nuwan Kulasekara,10,0,48,4,4.80,39,6,1,1,0,2943
India VsSri Lanka,Sri Lanka,Chanaka Welegedara,10,1,53,3,5.30,31,6,0,0,0,2943
India VsSri Lanka,Sri Lanka,Thilan Thushara,6,1,26,0,4.33,22,2,0,2,0,2943
India VsSri Lanka,Sri Lanka,Suraj Randiv,9,0,47,1,5.22,29,4,1,1,0,2943
India VsSri Lanka,Sri Lanka,Thisara Perera,8.2,0,49,1,5.88,20,4,0,1,0,2943
India VsSri Lanka,Sri Lanka,Tillakaratne Dilshan,5,0,18,1,3.60,14,0,0,1,0,2943
India VsSri Lanka,India,Ashish Nehra,1.2,0,2,1,1.50,7,0,0,0,1,2943
India VsSri Lanka,India,Sreesanth,9.3,0,72,0,7.57,25,11,0,0,0,2943
India VsSri Lanka,India,Virat Kohli,1.4,0,12,0,7.20,4,2,0,0,0,2943
India VsSri Lanka,India,Zaheer Khan,10,0,51,0,5.10,34,5,0,2,0,2943
India VsSri Lanka,India,Harbhajan Singh,10,0,41,2,4.10,35,3,0,2,0,2943
India VsSri Lanka,India,Yuvraj Singh,9,0,41,1,4.55,27,2,0,0,0,2943
India VsSri Lanka,India,Ravindra Jadeja,7,0,29,1,4.14,21,2,0,0,0,2943
Pakistan VsAustralia,Australia,Doug Bollinger,9.4,0,37,2,3.82,39,4,0,2,1,2944
Pakistan VsAustralia,Australia,Peter Siddle,8,1,48,0,6.00,32,7,1,0,0,2944
Pakistan VsAustralia,Australia,Clint McKay,9,0,61,3,6.77,29,11,0,1,1,2944
Pakistan VsAustralia,Australia,Shane Watson,10,0,36,4,3.60,37,2,1,0,0,2944
Pakistan VsAustralia,Australia,Nathan Hauritz,9,0,68,0,7.55,14,4,1,1,0,2944
Pakistan VsAustralia,Australia,Michael Clarke,2,0,8,0,4.00,5,0,0,0,0,2944
Pakistan VsAustralia,Australia,Michael Hussey,2,0,12,0,6.00,4,0,0,1,0,2944
Pakistan VsAustralia,Pakistan,Mohammad Asif,10,1,44,1,4.40,33,3,0,1,0,2944
Pakistan VsAustralia,Pakistan,Mohammad Amir,9,0,29,1,3.22,36,0,0,2,0,2944
Pakistan VsAustralia,Pakistan,Naved-ul-Hasan,10,0,61,1,6.10,28,7,0,1,0,2944
Pakistan VsAustralia,Pakistan,Shahid Afridi,10,0,66,1,6.60,19,1,3,1,0,2944
Pakistan VsAustralia,Pakistan,Saeed Ajmal,9.3,0,61,0,6.42,13,3,1,0,0,2944
Australia VsPakistan,Pakistan,Mohammad Amir,9,0,53,3,5.88,29,7,0,1,0,2945
Australia VsPakistan,Pakistan,Umar Gul,10,0,70,1,7.00,23,7,0,1,0,2945
Australia VsPakistan,Pakistan,Naved-ul-Hasan,7,0,47,0,6.71,21,4,2,0,1,2945
Australia VsPakistan,Pakistan,Shahid Afridi,10,0,35,2,3.50,34,1,0,0,0,2945
Australia VsPakistan,Pakistan,Saeed Ajmal,10,1,41,0,4.10,33,3,0,0,0,2945
Australia VsPakistan,Pakistan,Shoaib Malik,4,0,17,0,4.25,10,1,0,0,0,2945
Australia VsPakistan,Australia,Doug Bollinger,9,1,19,2,2.11,42,1,0,1,0,2945
Australia VsPakistan,Australia,Peter Siddle,8,1,23,1,2.87,37,1,1,1,0,2945
Australia VsPakistan,Australia,Clint McKay,7.3,0,15,3,2.00,35,1,0,2,0,2945
Australia VsPakistan,Australia,Shane Watson,3,0,10,1,3.33,13,0,1,0,0,2945
Australia VsPakistan,Australia,Nathan Hauritz,7,0,45,2,6.42,21,1,3,0,0,2945
Australia VsPakistan,Australia,Michael Clarke,3,0,14,0,4.66,8,1,0,0,0,2945
Australia VsPakistan,Pakistan,Mohammad Asif,10,0,51,1,5.10,30,5,0,1,0,2946
Australia VsPakistan,Pakistan,Umar Gul,10,1,80,2,8.00,26,8,1,2,3,2946
Australia VsPakistan,Pakistan,Naved-ul-Hasan,10,0,57,2,5.70,29,4,0,1,1,2946
Australia VsPakistan,Pakistan,Shahid Afridi,10,0,55,0,5.50,21,4,0,0,0,2946
Australia VsPakistan,Pakistan,Saeed Ajmal,10,0,41,1,4.10,28,2,0,0,0,2946
Australia VsPakistan,Australia,Doug Bollinger,9,0,35,0,3.88,33,3,0,1,0,2946
Australia VsPakistan,Australia,Ryan Harris,10,0,43,5,4.30,37,6,0,0,0,2946
Australia VsPakistan,Australia,Shane Watson,9,0,66,1,7.33,24,8,1,1,0,2946
Australia VsPakistan,Australia,Clint McKay,10,1,48,3,4.80,33,3,1,1,0,2946
Australia VsPakistan,Australia,Nathan Hauritz,7.4,0,37,1,4.82,23,1,0,0,0,2946
Australia VsPakistan,Australia,Michael Clarke,2,0,6,0,3.00,7,0,0,0,0,2946
Australia VsPakistan,Pakistan,Mohammad Asif,10,1,42,3,4.20,35,3,0,0,1,2947
Australia VsPakistan,Pakistan,Naved-ul-Hasan,10,0,70,1,7.00,23,5,2,1,0,2947
Australia VsPakistan,Pakistan,Iftikhar Anjum,10,0,64,0,6.40,31,5,3,0,0,2947
Australia VsPakistan,Pakistan,Shahid Afridi,10,1,44,1,4.40,30,1,0,1,0,2947
Australia VsPakistan,Pakistan,Saeed Ajmal,10,0,55,2,5.50,25,2,1,1,0,2947
Australia VsPakistan,Australia,Ryan Harris,9.5,3,19,5,1.93,50,3,0,1,0,2947
Australia VsPakistan,Australia,Peter Siddle,6,0,31,2,5.16,22,3,0,1,1,2947
Australia VsPakistan,Australia,Clint McKay,7,2,16,1,2.28,34,2,0,0,0,2947
Australia VsPakistan,Australia,James Hopes,7,0,23,0,3.28,25,1,0,0,0,2947
Australia VsPakistan,Australia,Nathan Hauritz,8,0,48,1,6.00,20,0,3,1,0,2947
Pakistan VsAustralia,Australia,Ryan Harris,10,1,44,3,4.40,36,3,1,1,0,2948
Pakistan VsAustralia,Australia,Mitchell Johnson,10,1,42,2,4.20,36,3,0,1,0,2948
Pakistan VsAustralia,Australia,Clint McKay,9.3,3,35,4,3.68,38,3,1,0,0,2948
Pakistan VsAustralia,Australia,James Hopes,10,1,45,0,4.50,32,3,0,0,0,2948
Pakistan VsAustralia,Australia,Nathan Hauritz,10,0,38,0,3.80,27,0,0,2,0,2948
Pakistan VsAustralia,Pakistan,Mohammad Asif,10,0,40,1,4.00,35,3,0,1,0,2948
Pakistan VsAustralia,Pakistan,Naved-ul-Hasan,10,0,55,2,5.50,34,7,0,1,0,2948
