Match,Team 1,Team 2,Winner,Margin,Ground,Match Date,Match id
Bangladesh vs Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,7 wickets,Mirpur,"Jan 4, 2010",ODI # 2937
India vs Sri Lanka,India,Sri Lanka,Sri Lanka,5 wickets,Mirpur,"Jan 5, 2010",ODI # 2938
Bangladesh vs India,Bangladesh,India,India,6 wickets,Mirpur,"Jan 7, 2010",ODI # 2939
Bangladesh vs Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,9 wickets,Mirpur,"Jan 8, 2010",ODI # 2940
India vs Sri Lanka,India,Sri Lanka,India,8 wickets,Mirpur,"Jan 10, 2010",ODI # 2941
Bangladesh vs India,Bangladesh,India,India,6 wickets,Mirpur,"Jan 11, 2010",ODI # 2942
India vs Sri Lanka,India,Sri Lanka,Sri Lanka,4 wickets,Mirpur,"Jan 13, 2010",ODI # 2943
Australia vs Pakistan,Australia,Pakistan,Australia,5 wickets,Brisbane,"Jan 22, 2010",ODI # 2944
Australia vs Pakistan,Australia,Pakistan,Australia,140 runs,Sydney,"Jan 24, 2010",ODI # 2945
Australia vs Pakistan,Australia,Pakistan,Australia,40 runs,Adelaide,"Jan 26, 2010",ODI # 2946
Australia vs Pakistan,Australia,Pakistan,Australia,135 runs,Perth,"Jan 29, 2010",ODI # 2947
Australia vs Pakistan,Australia,Pakistan,Australia,2 wickets,Perth,"Jan 31, 2010",ODI # 2948
New Zealand vs Bangladesh,New Zealand,Bangladesh,New Zealand,146 runs,Napier,"Feb 5, 2010",ODI # 2949
Australia vs West Indies,Australia,West Indies,Australia,113 runs,Melbourne,"Feb 7, 2010",ODI # 2950
New Zealand vs Bangladesh,New Zealand,Bangladesh,New Zealand,5 wickets,Dunedin,"Feb 8, 2010",ODI # 2951
Australia vs West Indies,Australia,West Indies,Australia,8 wickets,Adelaide,"Feb 9, 2010",ODI # 2952
New Zealand vs Bangladesh,New Zealand,Bangladesh,New Zealand,3 wickets,Christchurch,"Feb 11, 2010",ODI # 2953
