Match Name,teamInnings,Batting Position,Batsman Name,Dismissal,Runs,Balls,M,4s,6s,Match id,Strike Rate
Afghanistan VsIreland,Afghanistan,1,Karim Sadiq,st †NJ O'Brien b Johnston,3,6,10,0,0,128,50.00
Afghanistan VsIreland,Afghanistan,2,Shafiqullah,lbw b Johnston,23,16,27,3,1,128,143.75
Afghanistan VsIreland,Afghanistan,3,Mohammad Shahzad †,c KJ O'Brien b Johnston,10,8,8,2,0,128,125.00
Afghanistan VsIreland,Afghanistan,4,Nawroz Mangal (c),c Wilson b Dockrell,27,25,31,5,0,128,108.00
Afghanistan VsIreland,Afghanistan,5,Asghar Afghan,c White b Johnston,1,5,7,0,0,128,20.00
Afghanistan VsIreland,Afghanistan,6,Raees Ahmadzai,not out,33,36,48,2,0,128,91.66
Afghanistan VsIreland,Afghanistan,7,Mohammad Nabi,c Wilson b Dockrell,2,5,6,0,0,128,40.00
Afghanistan VsIreland,Afghanistan,8,Samiullah Shinwari,c KJ O'Brien b Botha,14,11,12,0,1,128,127.27
Afghanistan VsIreland,Afghanistan,9,Hamid Hassan,c Cusack b Botha,2,3,6,0,0,128,66.66
Afghanistan VsIreland,Afghanistan,10,Shapoor Zadran,st †NJ O'Brien b Botha,0,2,1,0,0,128,0.00
Afghanistan VsIreland,Afghanistan,11,Dawlat Ahmadzai,not out,2,3,3,0,0,128,66.66
Afghanistan VsIreland,Ireland,1,William Porterfield (c),b Karim Sadiq,46,30,30,9,0,128,153.33
Afghanistan VsIreland,Ireland,2,Niall O'Brien †,c †Mohammad Shahzad b Dawlat Ahmadzai,18,13,22,3,0,128,138.46
Afghanistan VsIreland,Ireland,3,Paul Stirling,c & b Mohammad Nabi,17,29,30,1,0,128,58.62
Afghanistan VsIreland,Ireland,4,Andre Botha,b Karim Sadiq,5,10,13,0,0,128,50.00
Afghanistan VsIreland,Ireland,5,Kevin O'Brien,b Hamid Hassan,1,2,4,0,0,128,50.00
Afghanistan VsIreland,Ireland,6,John Mooney,not out,8,9,18,1,0,128,88.88
Afghanistan VsIreland,Ireland,7,Gary Wilson,not out,16,16,14,2,0,128,100.00
Scotland VsKenya,Scotland,1,Fraser Watts,b Kamande,16,17,-,0,2,129,94.11
Scotland VsKenya,Scotland,2,Ryan Watson,lbw b Suji,13,10,-,3,0,129,130.00
Scotland VsKenya,Scotland,3,Kyle Coetzer,run out (Suji),6,6,-,1,0,129,100.00
Scotland VsKenya,Scotland,4,Jan Stander,b Kamande,0,1,-,0,0,129,0.00
Scotland VsKenya,Scotland,5,Gavin Hamilton (c),run out (Suji),8,13,-,0,0,129,61.53
Scotland VsKenya,Scotland,6,Richie Berrington,c †Ouma b Tikolo,6,10,-,0,0,129,60.00
Scotland VsKenya,Scotland,7,Simon Smith †,c Obanda b Ngoche,9,20,-,0,0,129,45.00
Scotland VsKenya,Scotland,8,Ross Lyons,b Ngoche,4,15,-,0,0,129,26.66
Scotland VsKenya,Scotland,9,Majid Haq,not out,21,20,-,1,1,129,105.00
Scotland VsKenya,Scotland,10,Gordon Goudie,c Suji b Kamande,4,3,-,1,0,129,133.33
Scotland VsKenya,Scotland,11,Dewald Nel,not out,7,5,-,1,0,129,140.00
Scotland VsKenya,Kenya,1,David Obuya,not out,60,48,-,7,2,129,125.00
Scotland VsKenya,Kenya,2,Steve Tikolo,not out,46,28,-,7,1,129,164.28
Canada VsIreland,Canada,1,Hiral Patel,not out,88,61,80,9,2,130,144.26
Canada VsIreland,Canada,2,Rizwan Cheema,b Botha,34,30,39,5,1,130,113.33
Canada VsIreland,Canada,3,Ashish Bagai (c)†,b Botha,42,27,37,5,0,130,155.55
Canada VsIreland,Canada,4,Umar Bhatti,c & b Botha,6,2,1,0,1,130,300.00
Canada VsIreland,Canada,5,Khurram Chohan,not out,0,0,1,0,0,130,-
Canada VsIreland,Ireland,1,William Porterfield (c),c Rizwan Cheema b Baidwan,19,13,20,3,0,130,146.15
Canada VsIreland,Ireland,2,Niall O'Brien †,lbw b Khurram Chohan,50,34,51,5,1,130,147.05
Canada VsIreland,Ireland,3,Paul Stirling,c Rizwan Cheema b Bhatti,22,17,23,2,1,130,129.41
Canada VsIreland,Ireland,4,Kevin O'Brien,run out (Patel/†Bagai),5,2,3,1,0,130,250.00
Canada VsIreland,Ireland,5,Gary Wilson,b Bhatti,26,22,24,4,0,130,118.18
Canada VsIreland,Ireland,6,Andre Botha,run out (Rizwan Cheema),11,11,25,1,0,130,100.00
Canada VsIreland,Ireland,7,Trent Johnston,c Osinde b Bhatti,2,3,5,0,0,130,66.66
Canada VsIreland,Ireland,8,John Mooney,run out (Patel),9,5,13,1,0,130,180.00
Canada VsIreland,Ireland,9,Andrew White,not out,18,13,13,3,0,130,138.46
Canada VsIreland,Ireland,10,Gary Kidd,not out,1,1,1,0,0,130,100.00
Bangladesh VsNew Zealand,Bangladesh,1,Tamim Iqbal,c †BB McCullum b Tuffey,14,9,9,3,0,131,155.55
Bangladesh VsNew Zealand,Bangladesh,2,Mohammad Ashraful,c Hopkins b Vettori,11,14,29,1,0,131,78.57
Bangladesh VsNew Zealand,Bangladesh,3,Aftab Ahmed,b Franklin,12,14,14,1,1,131,85.71
Bangladesh VsNew Zealand,Bangladesh,4,Shakib Al Hasan (c),b NL McCullum,3,5,8,0,0,131,60.00
Bangladesh VsNew Zealand,Bangladesh,5,Mushfiqur Rahim †,lbw b Vettori,0,1,1,0,0,131,0.00
Bangladesh VsNew Zealand,Bangladesh,6,Mahmudullah,c Franklin b NL McCullum,11,23,19,1,0,131,47.82
Bangladesh VsNew Zealand,Bangladesh,7,Naeem Islam,b Oram,5,11,13,0,0,131,45.45
Bangladesh VsNew Zealand,Bangladesh,8,Raqibul Hasan,c Hopkins b Oram,18,13,20,2,1,131,138.46
Bangladesh VsNew Zealand,Bangladesh,9,Shahadat Hossain,st †BB McCullum b Vettori,1,3,3,0,0,131,33.33
Bangladesh VsNew Zealand,Bangladesh,10,Shafiul Islam,c Taylor b Tuffey,1,9,7,0,0,131,11.11
Bangladesh VsNew Zealand,Bangladesh,11,Nazmul Hossain,not out,0,3,4,0,0,131,0.00
Bangladesh VsNew Zealand,New Zealand,1,Brendon McCullum †,not out,56,27,35,7,2,131,207.40
Bangladesh VsNew Zealand,New Zealand,2,Peter Ingram,not out,20,23,35,3,0,131,86.95
Canada VsAfghanistan,Canada,1,Hiral Patel,run out (Karim Sadiq),11,9,15,2,0,132,122.22
Canada VsAfghanistan,Canada,2,Rizwan Cheema,c †Mohammad Shahzad b Samiullah Shinwari,14,14,26,3,0,132,100.00
Canada VsAfghanistan,Canada,3,Abdool Samad,b Hamid Hassan,26,32,40,1,1,132,81.25
Canada VsAfghanistan,Canada,4,Ashish Bagai (c)†,b Hamid Hassan,53,42,48,7,0,132,126.19
Canada VsAfghanistan,Canada,5,Sunil Dhaniram,c Samiullah Shinwari b Mohammad Nabi,18,16,20,1,0,132,112.50
Canada VsAfghanistan,Canada,6,Umar Bhatti,not out,4,4,10,0,0,132,100.00
Canada VsAfghanistan,Canada,7,Khurram Chohan,run out (†Mohammad Shahzad),8,4,3,0,1,132,200.00
Canada VsAfghanistan,Canada,8,Shaheed Keshvani,not out,0,1,1,0,0,132,0.00
Canada VsAfghanistan,Afghanistan,1,Karim Sadiq,c Baidwan b Bhatti,42,35,35,6,1,132,120.00
Canada VsAfghanistan,Afghanistan,2,Noor Ali Zadran,lbw b Rizwan Cheema,31,35,56,1,0,132,88.57
Canada VsAfghanistan,Afghanistan,3,Mohammad Shahzad †,b Baidwan,18,18,24,1,0,132,100.00
Canada VsAfghanistan,Afghanistan,4,Shafiqullah,c Usman Limbada b Baidwan,9,7,7,2,0,132,128.57
Canada VsAfghanistan,Afghanistan,5,Nawroz Mangal (c),not out,7,9,22,0,0,132,77.77
Canada VsAfghanistan,Afghanistan,6,Mohammad Nabi,c Keshvani b Baidwan,23,12,15,3,0,132,191.66
Canada VsAfghanistan,Afghanistan,7,Samiullah Shinwari,not out,8,3,3,1,0,132,266.66
Scotland VsKenya,Scotland,1,Kyle Coetzer,c Patel b NN Odhiambo,9,9,-,0,1,133,100.00
Scotland VsKenya,Scotland,2,Ryan Watson,b NN Odhiambo,13,8,-,2,0,133,162.50
Scotland VsKenya,Scotland,3,Fraser Watts,b NM Odhiambo,0,3,-,0,0,133,0.00
Scotland VsKenya,Scotland,4,Neil McCallum,run out (Patel),3,5,-,0,0,133,60.00
Scotland VsKenya,Scotland,5,Gavin Hamilton (c),c Tikolo b NN Odhiambo,28,30,-,3,0,133,93.33
Scotland VsKenya,Scotland,6,Richie Berrington,c †Ouma b NM Odhiambo,0,2,-,0,0,133,0.00
Scotland VsKenya,Scotland,7,Jan Stander,b NN Odhiambo,45,39,-,4,3,133,115.38
Scotland VsKenya,Scotland,8,Gordon Drummond,b NN Odhiambo,0,1,-,0,0,133,0.00
Scotland VsKenya,Scotland,9,Simon Smith †,not out,4,8,-,0,0,133,50.00
Scotland VsKenya,Scotland,10,Majid Haq,run out (Varaiya),2,7,-,0,0,133,28.57
Scotland VsKenya,Scotland,11,Dewald Nel,run out (Ngoche),9,5,-,0,1,133,180.00
Scotland VsKenya,Kenya,1,David Obuya,not out,65,47,-,7,2,133,138.29
Scotland VsKenya,Kenya,2,Steve Tikolo,not out,56,42,-,8,1,133,133.33
Australia VsPakistan,Australia,1,Shane Watson,run out (Umar Akmal/†Kamran Akmal),8,8,6,1,0,134,100.00
Australia VsPakistan,Australia,2,David Warner,c Imran Nazir b Mohammad Asif,24,14,29,1,1,134,171.42
Australia VsPakistan,Australia,3,Michael Clarke (c),c Fawad Alam b Umar Gul,32,26,31,2,0,134,123.07
Australia VsPakistan,Australia,4,David Hussey,not out,40,31,54,1,2,134,129.03
Australia VsPakistan,Australia,5,Cameron White,run out (Fawad Alam),4,8,9,0,0,134,50.00
Australia VsPakistan,Australia,6,Travis Birt,b Shoaib Malik,1,2,2,0,0,134,50.00
Australia VsPakistan,Australia,7,Brad Haddin †,st †Kamran Akmal b Shoaib Malik,1,3,2,0,0,134,33.33
Australia VsPakistan,Australia,8,Steven Smith,b Naved-ul-Hasan,8,8,10,1,0,134,100.00
Australia VsPakistan,Australia,9,Mitchell Johnson,c †Kamran Akmal b Umar Gul,2,7,6,0,0,134,28.57
Australia VsPakistan,Australia,10,Dirk Nannes,run out (Umar Akmal/Saeed Ajmal),4,3,6,0,0,134,133.33
Australia VsPakistan,Australia,11,Shaun Tait,c Fawad Alam b Umar Gul,1,2,4,0,0,134,50.00
Australia VsPakistan,Pakistan,1,Imran Farhat,c Watson b Tait,8,10,12,1,0,134,80.00
Australia VsPakistan,Pakistan,2,Imran Nazir,run out (Johnson),0,5,7,0,0,134,0.00
Australia VsPakistan,Pakistan,3,Kamran Akmal †,c Hussey b Tait,64,33,53,7,2,134,193.93
Australia VsPakistan,Pakistan,4,Khalid Latif,lbw b Watson,6,8,12,1,0,134,75.00
Australia VsPakistan,Pakistan,5,Shoaib Malik (c),c Birt b Tait,3,11,12,0,0,134,27.27
Australia VsPakistan,Pakistan,6,Umar Akmal,c Warner b Watson,21,25,47,0,0,134,84.00
Australia VsPakistan,Pakistan,7,Fawad Alam,c White b Smith,1,5,6,0,0,134,20.00
Australia VsPakistan,Pakistan,8,Naved-ul-Hasan,st †Haddin b Smith,1,9,7,0,0,134,11.11
Australia VsPakistan,Pakistan,9,Umar Gul,b Nannes,10,9,7,0,1,134,111.11
Australia VsPakistan,Pakistan,10,Saeed Ajmal,not out,1,3,6,0,0,134,33.33
Australia VsPakistan,Pakistan,11,Mohammad Asif,not out,5,2,3,1,0,134,250.00
Afghanistan VsIreland,Afghanistan,1,Noor Ali Zadran,c Stirling b Botha,42,45,56,5,0,135,93.33
Afghanistan VsIreland,Afghanistan,2,Karim Sadiq,b Johnston,4,5,6,1,0,135,80.00
Afghanistan VsIreland,Afghanistan,3,Shafiqullah,c Mooney b Johnston,3,6,12,0,0,135,50.00
Afghanistan VsIreland,Afghanistan,4,Mohammad Shahzad †,run out (Mooney),12,17,30,0,0,135,70.58
Afghanistan VsIreland,Afghanistan,5,Nawroz Mangal (c),st †NJ O'Brien b Dockrell,13,11,16,0,1,135,118.18
Afghanistan VsIreland,Afghanistan,6,Mohammad Nabi,not out,43,25,31,3,2,135,172.00
Afghanistan VsIreland,Afghanistan,7,Samiullah Shinwari,run out (Cusack/Connell),2,4,5,0,0,135,50.00
Afghanistan VsIreland,Afghanistan,8,Raees Ahmadzai,st †NJ O'Brien b Botha,9,5,14,0,1,135,180.00
Afghanistan VsIreland,Afghanistan,9,Mirwais Ashraf,run out (KJ O'Brien),1,1,2,0,0,135,100.00
Afghanistan VsIreland,Afghanistan,10,Hamid Hassan,not out,1,1,3,0,0,135,100.00
Afghanistan VsIreland,Ireland,1,William Porterfield (c),b Karim Sadiq,35,23,28,3,2,135,152.17
Afghanistan VsIreland,Ireland,2,Niall O'Brien †,c Noor Ali Zadran b Shapoor Zadran,2,6,12,0,0,135,33.33
Afghanistan VsIreland,Ireland,3,Paul Stirling,c Nawroz Mangal b Hamid Hassan,21,23,38,2,0,135,91.30
Afghanistan VsIreland,Ireland,4,Andre Botha,b Karim Sadiq,0,2,2,0,0,135,0.00
Afghanistan VsIreland,Ireland,5,Kevin O'Brien,c Nawroz Mangal b Karim Sadiq,7,9,8,0,0,135,77.77
Afghanistan VsIreland,Ireland,6,Alex Cusack,run out (Nawroz Mangal),15,13,20,0,0,135,115.38
Afghanistan VsIreland,Ireland,7,Gary Wilson,c †Mohammad Shahzad b Mohammad Nabi,8,10,12,0,0,135,80.00
Afghanistan VsIreland,Ireland,8,Trent Johnston,c Samiullah Shinwari b Mohammad Nabi,18,17,21,1,0,135,105.88
Afghanistan VsIreland,Ireland,9,John Mooney,b Hamid Hassan,9,13,22,1,0,135,69.23
Afghanistan VsIreland,Ireland,10,Peter Connell,run out (Hamid Hassan),0,1,4,0,0,135,0.00
Afghanistan VsIreland,Ireland,11,George Dockrell,not out,0,0,2,0,0,135,-
Canada VsNetherlands,Canada,1,Rizwan Cheema (c),retired hurt,3,3,7,0,0,136,100.00
Canada VsNetherlands,Canada,2,John Davison,c de Grooth b Schiferli,0,3,3,0,0,136,0.00
Canada VsNetherlands,Canada,3,Hiral Patel,c & b van Bunge,25,25,34,1,0,136,100.00
Canada VsNetherlands,Canada,4,Geoff Barnett,c de Grooth b Seelaar,36,20,29,6,0,136,180.00
Canada VsNetherlands,Canada,5,Ashish Bagai †,b Seelaar,14,17,29,0,0,136,82.35
Canada VsNetherlands,Canada,6,Ian Billcliff,b ten Doeschate,37,30,29,3,1,136,123.33
Canada VsNetherlands,Canada,7,Sunil Dhaniram,c Szwarczynski b Mudassar Bukhari,4,6,8,0,0,136,66.66
Canada VsNetherlands,Canada,8,Umar Bhatti,run out (†Buurman),7,7,11,0,0,136,100.00
Canada VsNetherlands,Canada,9,Khurram Chohan,not out,7,7,9,1,0,136,100.00
Canada VsNetherlands,Canada,10,Harvir Baidwan,not out,4,2,2,0,0,136,200.00
Canada VsNetherlands,Netherlands,1,Alexei Kervezee,st †Bagai b Davison,39,31,38,6,0,136,125.80
Canada VsNetherlands,Netherlands,2,Eric Szwarczynski,c Khurram Chohan b Bhatti,25,17,24,5,0,136,147.05
Canada VsNetherlands,Netherlands,3,Bas Zuiderent,not out,43,41,52,2,1,136,104.87
Canada VsNetherlands,Netherlands,4,Peter Borren (c),run out (†Bagai/Dhaniram),12,12,12,0,0,136,100.00
Canada VsNetherlands,Netherlands,5,Ryan ten Doeschate,c †Bagai b Baidwan,17,14,23,1,0,136,121.42
Canada VsNetherlands,Netherlands,6,Daan van Bunge,not out,0,0,3,0,0,136,-
Afghanistan VsScotland,Afghanistan,1,Noor Ali Zadran,b Coetzer,42,37,54,4,1,137,113.51
Afghanistan VsScotland,Afghanistan,2,Karim Sadiq,b Drummond,3,7,5,0,0,137,42.85
Afghanistan VsScotland,Afghanistan,3,Shafiqullah,c Stander b Drummond,0,2,3,0,0,137,0.00
Afghanistan VsScotland,Afghanistan,4,Mohammad Shahzad †,c Nel b Coetzer,30,40,55,1,0,137,75.00
Afghanistan VsScotland,Afghanistan,5,Nawroz Mangal (c),b Nel,18,16,20,0,1,137,112.50
Afghanistan VsScotland,Afghanistan,6,Mohammad Nabi,c Hamilton b Coetzer,0,1,3,0,0,137,0.00
Afghanistan VsScotland,Afghanistan,7,Raees Ahmadzai,not out,17,13,19,0,0,137,130.76
Afghanistan VsScotland,Afghanistan,8,Samiullah Shinwari,c Hamilton b Stander,1,2,5,0,0,137,50.00
Afghanistan VsScotland,Afghanistan,9,Mirwais Ashraf,not out,8,3,5,0,1,137,266.66
Afghanistan VsScotland,Scotland,1,Kyle Coetzer,c Raees Ahmadzai b Shapoor Zadran,2,15,18,0,0,137,13.33
Afghanistan VsScotland,Scotland,2,Navdeep Poonia,b Mirwais Ashraf,0,2,5,0,0,137,0.00
Afghanistan VsScotland,Scotland,3,Gavin Hamilton (c),st †Mohammad Shahzad b Karim Sadiq,32,34,52,1,1,137,94.11
Afghanistan VsScotland,Scotland,4,Neil McCallum,run out (Mohammad Nabi/†Mohammad Shahzad),38,34,42,3,1,137,111.76
Afghanistan VsScotland,Scotland,5,Jan Stander,b Hamid Hassan,4,4,6,0,0,137,100.00
Afghanistan VsScotland,Scotland,6,Fraser Watts,b Hamid Hassan,12,10,14,0,0,137,120.00
Afghanistan VsScotland,Scotland,7,Richie Berrington,not out,19,12,23,2,0,137,158.33
Afghanistan VsScotland,Scotland,8,Gordon Drummond,c Shapoor Zadran b Mohammad Nabi,5,4,7,0,0,137,125.00
Afghanistan VsScotland,Scotland,9,Simon Smith †,c Shafiqullah b Mohammad Nabi,0,1,1,0,0,137,0.00
Afghanistan VsScotland,Scotland,10,Majid Haq,b Hamid Hassan,1,4,1,0,0,137,25.00
Canada VsKenya,Canada,1,Rizwan Cheema (c),c †Ouma b Kamande,32,22,17,2,3,138,145.45
Canada VsKenya,Canada,2,John Davison,b Varaiya,0,1,1,0,0,138,0.00
Canada VsKenya,Canada,3,Hiral Patel,c Tikolo b Kamande,4,13,10,0,0,138,30.76
Canada VsKenya,Canada,4,Geoff Barnett,c Odhiambo b Tikolo,30,28,42,3,0,138,107.14
Canada VsKenya,Canada,5,Ashish Bagai †,c †Ouma b Onyango,36,36,48,2,0,138,100.00
Canada VsKenya,Canada,6,Ian Billcliff,run out (Obanda/Suji),14,9,20,0,1,138,155.55
Canada VsKenya,Canada,7,Umar Bhatti,b Odhiambo,12,7,9,1,0,138,171.42
Canada VsKenya,Canada,8,Khurram Chohan,c Patel b Odhiambo,3,3,6,0,0,138,100.00
Canada VsKenya,Canada,9,Sunil Dhaniram,c Patel b Odhiambo,1,2,3,0,0,138,50.00
Canada VsKenya,Canada,10,Harvir Baidwan,not out,0,0,3,0,0,138,-
Canada VsKenya,Kenya,1,Alex Obanda,lbw b Dhaniram,79,48,46,11,1,138,164.58
