match,teamInnings,Bowler Name,Over,Maiden,Runs,Wickets,Economy,dots,fours,sixes,wides,no balls,Match Id
Afghanistan VsIreland,Ireland,Alex Cusack,4,0,38,0,9.50,9,4,1,2,0,128
Afghanistan VsIreland,Ireland,Trent Johnston,4,1,22,4,5.50,16,4,0,0,0,128
Afghanistan VsIreland,Ireland,Kevin O'Brien,4,0,34,0,8.50,7,4,0,0,0,128
Afghanistan VsIreland,Ireland,Andre Botha,4,0,14,3,3.50,15,0,1,0,0,128
Afghanistan VsIreland,Ireland,George Dockrell,4,0,11,2,2.75,15,0,0,0,0,128
Afghanistan VsIreland,Afghanistan,Shapoor Zadran,2,0,18,0,9.00,5,3,0,0,0,128
Afghanistan VsIreland,Afghanistan,Mohammad Nabi,4,1,19,1,4.75,15,3,0,0,0,128
Afghanistan VsIreland,Afghanistan,Dawlat Ahmadzai,2,0,25,1,12.50,3,5,0,0,0,128
Afghanistan VsIreland,Afghanistan,Karim Sadiq,4,0,17,2,4.25,12,1,0,1,0,128
Afghanistan VsIreland,Afghanistan,Samiullah Shinwari,3,0,19,0,6.33,10,2,0,1,0,128
Afghanistan VsIreland,Afghanistan,Hamid Hassan,3,0,14,1,4.66,8,1,0,0,0,128
Afghanistan VsIreland,Afghanistan,Nawroz Mangal,0.1,0,4,0,24.00,0,1,0,0,0,128
Scotland VsKenya,Kenya,Nehemiah Odhiambo,2,0,13,0,6.50,7,1,1,0,0,129
Scotland VsKenya,Kenya,Tony Suji,2,0,9,1,4.50,9,2,0,0,0,129
Scotland VsKenya,Kenya,Hiren Varaiya,4,0,24,0,6.00,8,2,0,0,0,129
Scotland VsKenya,Kenya,Jimmy Kamande,4,0,28,3,7.00,13,2,2,0,0,129
Scotland VsKenya,Kenya,Steve Tikolo,4,0,10,1,2.50,15,0,0,0,0,129
Scotland VsKenya,Kenya,Shem Ngoche,4,0,10,2,2.50,-,-,-,0,0,129
Scotland VsKenya,Scotland,Dewald Nel,3,0,25,0,8.33,8,4,0,1,1,129
Scotland VsKenya,Scotland,Gordon Goudie,1,0,20,0,20.00,2,2,2,0,0,129
Scotland VsKenya,Scotland,Jan Stander,2,0,19,0,9.50,5,4,0,0,0,129
Scotland VsKenya,Scotland,Majid Haq,3,1,14,0,4.66,10,1,0,0,0,129
Scotland VsKenya,Scotland,Ross Lyons,2,0,14,0,7.00,6,1,1,0,0,129
Scotland VsKenya,Scotland,Ryan Watson,1,0,11,0,11.00,1,1,0,0,0,129
Scotland VsKenya,Scotland,Richie Berrington,0.3,0,5,0,10.00,1,1,0,0,0,129
Canada VsIreland,Ireland,Phil Eaglestone,2,0,16,0,8.00,5,2,0,1,0,130
Canada VsIreland,Ireland,Trent Johnston,4,0,26,0,6.50,14,2,1,1,0,130
Canada VsIreland,Ireland,Kevin O'Brien,4,0,38,0,9.50,7,4,1,1,0,130
Canada VsIreland,Ireland,Gary Kidd,3,0,32,0,10.66,2,3,1,0,0,130
Canada VsIreland,Ireland,Andre Botha,4,0,35,3,8.75,6,4,1,0,0,130
Canada VsIreland,Ireland,John Mooney,2,0,16,0,8.00,5,3,0,0,0,130
Canada VsIreland,Ireland,Paul Stirling,1,0,10,0,10.00,0,1,0,0,0,130
Canada VsIreland,Canada,Henry Osinde,1,0,13,0,13.00,1,2,0,1,0,130
Canada VsIreland,Canada,Khurram Chohan,4,0,24,1,6.00,12,3,0,0,0,130
Canada VsIreland,Canada,Harvir Baidwan,4,0,38,1,9.50,6,4,1,0,0,130
Canada VsIreland,Canada,Rizwan Cheema,4,0,41,0,10.25,6,5,1,1,0,130
Canada VsIreland,Canada,Hiral Patel,1,0,6,0,6.00,1,0,0,0,0,130
Canada VsIreland,Canada,Sunil Dhaniram,2,0,17,0,8.50,2,2,0,0,0,130
