Match Name,teamInnings,Batting Position,Batsman Name,Dismissal,Runs,Balls,4s,6s,Match id,Strike Rate
West Indies VsIreland,West Indies,1,Shai Hope,c †Tucker b Campher,29,44,3,0,4339,65.9
West Indies VsIreland,West Indies,2,Justin Greaves,c Delany b Adair,7,24,1,0,4339,29.16
West Indies VsIreland,West Indies,3,Nicholas Pooran †,c Porterfield b McBrine,13,34,2,0,4339,38.23
West Indies VsIreland,West Indies,4,Shamarh Brooks,lbw b Adair,93,89,9,3,4339,104.49
West Indies VsIreland,West Indies,5,Roston Chase,c Tector b McBrine,1,4,0,0,4339,25
West Indies VsIreland,West Indies,6,Kieron Pollard (c),c Tector b Young,69,66,4,4,4339,104.54
West Indies VsIreland,West Indies,7,Jason Holder,c McBrine b Young,13,17,2,0,4339,76.47
West Indies VsIreland,West Indies,8,Romario Shepherd,c Adair b Young,2,3,0,0,4339,66.66
West Indies VsIreland,West Indies,9,Odean Smith,c Delany b Adair,18,8,1,2,4339,225
West Indies VsIreland,West Indies,10,Alzarri Joseph,c McBrine b Little,0,2,0,0,4339,0
West Indies VsIreland,West Indies,11,Akeal Hosein,not out,5,2,1,0,4339,250
West Indies VsIreland,Ireland,1,William Porterfield,lbw b Hosein,0,9,0,0,4339,0
West Indies VsIreland,Ireland,2,Andy Balbirnie (c),c †Hope b Shepherd,71,94,7,1,4339,75.53
West Indies VsIreland,Ireland,3,Andy McBrine,retired hurt,34,50,5,0,4339,68
West Indies VsIreland,Ireland,4,Harry Tector,c Chase b Smith,53,68,5,1,4339,77.94
West Indies VsIreland,Ireland,5,Curtis Campher,c †Hope b Shepherd,6,6,1,0,4339,100
West Indies VsIreland,Ireland,6,Lorcan Tucker †,b Joseph,9,14,1,0,4339,64.28
West Indies VsIreland,Ireland,7,George Dockrell,c Holder b Joseph,30,25,2,1,4339,120
West Indies VsIreland,Ireland,8,Gareth Delany,b Joseph,6,9,0,0,4339,66.66
West Indies VsIreland,Ireland,9,Neil Rock,c Chase b Holder,5,9,0,0,4339,55.55
West Indies VsIreland,Ireland,10,Mark Adair,not out,21,9,0,3,4339,233.33
West Indies VsIreland,Ireland,11,Craig Young,c Pollard b Shepherd,0,2,0,0,4339,0
West Indies VsIreland,Ireland,12,Josh Little,c †Pooran b Smith,0,1,0,0,4339,0
West Indies VsIreland,West Indies,1,Shai Hope †,c †Rock b Young,17,37,3,0,4340,45.94
West Indies VsIreland,West Indies,2,Justin Greaves,b Young,10,30,1,0,4340,33.33
West Indies VsIreland,West Indies,3,Nicholas Pooran,lbw b Young,1,10,0,0,4340,10
West Indies VsIreland,West Indies,4,Shamarh Brooks,lbw b Dockrell,43,64,5,0,4340,67.18
West Indies VsIreland,West Indies,5,Roston Chase,c Stirling b McBrine,13,40,0,0,4340,32.5
West Indies VsIreland,West Indies,6,Kieron Pollard (c),c Dockrell b McBrine,1,6,0,0,4340,16.66
West Indies VsIreland,West Indies,7,Jason Holder,c †Rock b Little,3,11,0,0,4340,27.27
West Indies VsIreland,West Indies,8,Akeal Hosein,c Adair b McBrine,11,21,0,1,4340,52.38
West Indies VsIreland,West Indies,9,Romario Shepherd,b McBrine,50,41,7,0,4340,121.95
West Indies VsIreland,West Indies,10,Odean Smith,c Campher b Little,46,19,2,5,4340,242.1
