match,teamInnings,Bowler Name,Over,Maiden,Runs,Wickets,Economy,dots,fours,sixes,wides,no balls,Match id
West Indies VsIreland,Ireland,Josh Little,10.0,1,46,1,4.6,34,4,1,0,0,4339
West Indies VsIreland,Ireland,Mark Adair,8.5,1,38,3,4.3,36,4,1,3,0,4339
West Indies VsIreland,Ireland,Craig Young,9.0,0,56,3,6.22,29,8,0,5,0,4339
West Indies VsIreland,Ireland,Curtis Campher,10.0,0,47,1,4.7,39,2,2,4,0,4339
West Indies VsIreland,Ireland,Andy McBrine,8.0,0,52,2,6.5,26,3,4,0,0,4339
West Indies VsIreland,Ireland,George Dockrell,3.0,0,23,0,7.66,7,2,1,0,0,4339
West Indies VsIreland,West Indies,Jason Holder,10.0,1,48,1,4.8,36,6,1,0,0,4339
West Indies VsIreland,West Indies,Akeal Hosein,10.0,0,35,1,3.5,38,3,0,0,0,4339
West Indies VsIreland,West Indies,Alzarri Joseph,10.0,0,55,3,5.5,35,4,2,2,1,4339
West Indies VsIreland,West Indies,Romario Shepherd,9.0,0,50,3,5.55,28,4,2,0,0,4339
West Indies VsIreland,West Indies,Odean Smith,5.1,0,26,2,5.03,18,2,0,6,0,4339
West Indies VsIreland,West Indies,Roston Chase,5.0,0,30,0,6.0,12,2,1,0,0,4339
West Indies VsIreland,Ireland,Josh Little,10.0,1,40,2,4.0,39,5,0,0,0,4340
West Indies VsIreland,Ireland,Mark Adair,9.0,2,42,0,4.66,35,1,1,9,0,4340
West Indies VsIreland,Ireland,Craig Young,8.0,1,42,3,5.25,32,6,0,3,1,4340
West Indies VsIreland,Ireland,Andy McBrine,10.0,2,36,4,3.6,45,1,2,3,0,4340
West Indies VsIreland,Ireland,Curtis Campher,8.0,0,56,0,7.0,22,5,2,2,0,4340
West Indies VsIreland,Ireland,George Dockrell,3.0,0,11,1,3.66,14,0,1,1,0,4340
West Indies VsIreland,West Indies,Akeal Hosein,8.0,0,51,2,6.37,26,6,2,0,1,4340
West Indies VsIreland,West Indies,Jason Holder,7.0,1,35,0,5.0,27,3,1,2,0,4340
West Indies VsIreland,West Indies,Alzarri Joseph,6.0,1,32,0,5.33,22,3,1,2,0,4340
West Indies VsIreland,West Indies,Roston Chase,5.0,0,19,1,3.8,17,2,0,0,0,4340
West Indies VsIreland,West Indies,Odean Smith,2.0,0,8,0,4.0,7,0,0,1,0,4340
West Indies VsIreland,West Indies,Romario Shepherd,4.0,0,12,1,3.0,18,2,0,0,0,4340
West Indies VsIreland,West Indies,Kieron Pollard,0.3,0,4,1,8.0,1,0,0,0,1,4340
Zimbabwe VsSri Lanka,Sri Lanka,Nuwan Pradeep,10.0,1,54,2,5.4,32,5,1,1,1,4341
Zimbabwe VsSri Lanka,Sri Lanka,Chamika Gunasekara,1.0,0,8,0,8.0,4,1,0,1,0,4341
Zimbabwe VsSri Lanka,Sri Lanka,Maheesh Theekshana,10.0,0,40,0,4.0,31,2,0,0,0,4341
Zimbabwe VsSri Lanka,Sri Lanka,Dasun Shanaka,4.0,0,34,0,8.5,8,5,0,2,0,4341
Zimbabwe VsSri Lanka,Sri Lanka,Chamika Karunaratne,10.0,1,69,3,6.9,25,7,2,1,0,4341
Zimbabwe VsSri Lanka,Sri Lanka,Jeffrey Vandersay,6.0,0,44,2,7.33,15,5,1,1,0,4341
Zimbabwe VsSri Lanka,Sri Lanka,Kamindu Mendis,6.0,0,32,1,5.33,15,2,0,1,0,4341
