Match,Team 1,Team 2,Winner,Margin,Ground,Match Date,Match id
West Indies vs Ireland,West Indies,Ireland,West Indies,24 runs,Kingston,"Jan 8, 2022",ODI # 4339
West Indies vs Ireland,West Indies,Ireland,Ireland,5 wickets,Kingston,"Jan 13, 2022",ODI # 4340
Sri Lanka vs Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Pallekele,"Jan 16, 2022",ODI # 4341
West Indies vs Ireland,West Indies,Ireland,Ireland,2 wickets,Kingston,"Jan 16, 2022",ODI # 4342
Sri Lanka vs Zimbabwe,Sri Lanka,Zimbabwe,Zimbabwe,22 runs,Pallekele,"Jan 18, 2022",ODI # 4343
South Africa vs India,South Africa,India,South Africa,31 runs,Paarl,"Jan 19, 2022",ODI # 4344
South Africa vs India,South Africa,India,South Africa,7 wickets,Paarl,"Jan 21, 2022",ODI # 4346
Sri Lanka vs Zimbabwe,Sri Lanka,Zimbabwe,Sri Lanka,184 runs,Pallekele,"Jan 21, 2022",ODI # 4347
South Africa vs India,South Africa,India,South Africa,4 runs,Cape Town,"Jan 23, 2022",ODI # 4349
India vs West Indies,India,West Indies,India,6 wickets,Ahmedabad,"Feb 6, 2022",ODI # 4353
India vs West Indies,India,West Indies,India,44 runs,Ahmedabad,"Feb 9, 2022",ODI # 4355
India vs West Indies,India,West Indies,India,96 runs,Ahmedabad,"Feb 11, 2022",ODI # 4356
Bangladesh vs Afghanistan,Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram,"Feb 23, 2022",ODI # 4357
Bangladesh vs Afghanistan,Bangladesh,Afghanistan,Bangladesh,88 runs,Chattogram,"Feb 25, 2022",ODI # 4358
Bangladesh vs Afghanistan,Bangladesh,Afghanistan,Afghanistan,7 wickets,Chattogram,"Feb 28, 2022",ODI # 4359
South Africa vs Bangladesh,South Africa,Bangladesh,Bangladesh,38 runs,Centurion,"Mar 18, 2022",ODI # 4370
South Africa vs Bangladesh,South Africa,Bangladesh,South Africa,7 wickets,Johannesburg,"Mar 20, 2022",ODI # 4372
South Africa vs Bangladesh,South Africa,Bangladesh,Bangladesh,9 wickets,Centurion,"Mar 23, 2022",ODI # 4375
Pakistan vs Australia,Pakistan,Australia,Australia,88 runs,Lahore,"Mar 29, 2022",ODI # 4379
Pakistan vs Australia,Pakistan,Australia,Pakistan,6 wickets,Lahore,"Mar 31, 2022",ODI # 4380
Pakistan vs Australia,Pakistan,Australia,Pakistan,9 wickets,Lahore,"Apr 2, 2022",ODI # 4382
Zimbabwe vs Afghanistan,Zimbabwe,Afghanistan,Afghanistan,60 runs,Harare,"Jun 4, 2022",ODI # 4397
Zimbabwe vs Afghanistan,Zimbabwe,Afghanistan,Afghanistan,8 wickets,Harare,"Jun 6, 2022",ODI # 4400
Pakistan vs West Indies,Pakistan,West Indies,Pakistan,5 wickets,Multan,"Jun 8, 2022",ODI # 4401
Zimbabwe vs Afghanistan,Zimbabwe,Afghanistan,Afghanistan,4 wickets,Harare,"Jun 9, 2022",ODI # 4403
Pakistan vs West Indies,Pakistan,West Indies,Pakistan,120 runs,Multan,"Jun 10, 2022",ODI # 4405
Pakistan vs West Indies,Pakistan,West Indies,Pakistan,53 runs,Multan,"Jun 12, 2022",ODI # 4407
Sri Lanka vs Australia,Sri Lanka,Australia,Australia,2 wickets,Pallekele,"Jun 14, 2022",ODI # 4409
Sri Lanka vs Australia,Sri Lanka,Australia,Sri Lanka,26 runs,Pallekele,"Jun 16, 2022",ODI # 4412
Sri Lanka vs Australia,Sri Lanka,Australia,Sri Lanka,6 wickets,Colombo (RPS),"Jun 19, 2022",ODI # 4415
Sri Lanka vs Australia,Sri Lanka,Australia,Sri Lanka,4 runs,Colombo (RPS),"Jun 21, 2022",ODI # 4416
Sri Lanka vs Australia,Sri Lanka,Australia,Australia,4 wickets,Colombo (RPS),"Jun 24, 2022",ODI # 4418
Ireland vs New Zealand,Ireland,New Zealand,New Zealand,1 wicket,Dublin (Malahide),"Jul 10, 2022",ODI # 4419
West Indies vs Bangladesh,West Indies,Bangladesh,Bangladesh,6 wickets,Providence,"Jul 10, 2022",ODI # 4421
Ireland vs New Zealand,Ireland,New Zealand,New Zealand,3 wickets,Dublin (Malahide),"Jul 12, 2022",ODI # 4423
England vs India,England,India,India,10 wickets,The Oval,"Jul 12, 2022",ODI # 4424
West Indies vs Bangladesh,West Indies,Bangladesh,Bangladesh,9 wickets,Providence,"Jul 13, 2022",ODI # 4426
England vs India,England,India,England,100 runs,Lord's,"Jul 14, 2022",ODI # 4428
Ireland vs New Zealand,Ireland,New Zealand,New Zealand,1 run,Dublin (Malahide),"Jul 15, 2022",ODI # 4429
West Indies vs Bangladesh,West Indies,Bangladesh,Bangladesh,4 wickets,Providence,"Jul 16, 2022",ODI # 4431
England vs India,England,India,India,5 wickets,Manchester,"Jul 17, 2022",ODI # 4433
England vs South Africa,England,South Africa,South Africa,62 runs,Chester-le-Street,"Jul 19, 2022",ODI # 4434
England vs South Africa,England,South Africa,England,118 runs,Manchester,"Jul 22, 2022",ODI # 4435
West Indies vs India,West Indies,India,India,3 runs,Port of Spain,"Jul 22, 2022",ODI # 4436
West Indies vs India,West Indies,India,India,2 wickets,Port of Spain,"Jul 24, 2022",ODI # 4438
West Indies vs India,West Indies,India,India,119 runs,Port of Spain,"Jul 27, 2022",ODI # 4439
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare,"Aug 5, 2022",ODI # 4441
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Zimbabwe,5 wickets,Harare,"Aug 7, 2022",ODI # 4442
Zimbabwe vs Bangladesh,Zimbabwe,Bangladesh,Bangladesh,105 runs,Harare,"Aug 10, 2022",ODI # 4443
West Indies vs New Zealand,West Indies,New Zealand,West Indies,5 wickets,Bridgetown,"Aug 17, 2022",ODI # 4450
Zimbabwe vs India,Zimbabwe,India,India,10 wickets,Harare,"Aug 18, 2022",ODI # 4451
