,Name,Team,Playing Role,SPan,age,Batting Style,Bowling_style,Players images url
0,Azmatullah Omarzai,Afghanistan,Allrounder, 2021 - 2023,22y 330d,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/347800/347832.4.jpg"
1,Fareed Ahmad,Afghanistan,Bowler, 2014 - 2022,28y 191d,Left hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320400/320494.png"
2,Fazalhaq Farooqi,Afghanistan,Bowler, 2021 - 2023,22y 148d,Right hand Bat,Left arm Fast medium,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/345000/345077.png"
3,Gulbadin Naib,Afghanistan,Batting Allrounder, 2011 - 2022,31y 258d,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316661.png"
4,Hashmatullah Shahidi,Afghanistan,Top order Batter, 2013 - 2022,28y 105d,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320400/320495.png"
5,Ibrahim Zadran,Afghanistan,Opening Batter, 2019 - 2023,21y 67d,Right hand Bat,Right arm Medium fast,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321300/321311.png"
6,Mohammad Nabi,Afghanistan,Allrounder, 2009 - 2022,38y 47d,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316558.png"
7,Mujeeb Ur Rahman,Afghanistan,Bowler, 2017 - 2023,21y 326d,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320500/320501.png"
8,Najibullah Zadran,Afghanistan,Middle order Batter, 2012 - 2023,29y 354d,Left hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316698.png"
9,Noor Ahmad,Afghanistan,Bowler, 2022 - 2022,18y 45d,Right hand Bat,Left arm Wrist spin,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322100/322161.png"
10,Rahmanullah Gurbaz,Afghanistan,Wicketkeeper Batter, 2019 - 2023,21y 81d,Right hand Bat,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320500/320504.png"
11,Rahmat Shah,Afghanistan,Allrounder, 2013 - 2022,29y 226d,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320500/320505.png"
12,Rashid Khan,Afghanistan,Bowling Allrounder, 2015 - 2023,24y 150d,Right hand Bat,Legbreak Googly,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320500/320506.png"
13,Riaz Hassan,Afghanistan,INTL CAREER: 2022 - 2022, 2022 - 2022,20y 102d,Right hand Bat,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/330600/330621.png"
