Player_name,Team Name,Runs_Scored,Total_hundreds,Total_fifties,Strike Rate,Batting Average,Runs_Conceded,Total_Wickets_Taken,Economy,Bowling Average,Bowling Strike Rate
Aaron Finch,Australia,174.0,0.0,1.0,71.02,12.43,0.0,0.0,0.0,0.0,0.0
Adam Zampa,Australia,40.0,0.0,0.0,60.61,20.0,614.0,34.0,5.0,18.06,21.65
Adil Rashid,England,71.0,0.0,0.0,75.53,23.67,457.0,20.0,5.7,22.85,24.0
Afif Hossain,Bangladesh,396.0,0.0,3.0,81.15,33.0,45.0,2.0,4.3,22.5,32.0
Agha Salman,Pakistan,83.0,0.0,0.0,110.67,41.5,88.0,2.0,4.9,44.0,54.0
Aiden Markram,South Africa,347.0,0.0,2.0,94.81,28.92,241.0,6.0,5.5,40.17,44.0
Akeal Hosein,West Indies,231.0,0.0,1.0,80.49,16.5,911.0,27.0,5.4,33.74,37.78
Alex Carey,Australia,464.0,0.0,2.0,83.6,33.14,0.0,0.0,0.0,0.0,0.0
Alzarri Joseph,West Indies,156.0,0.0,0.0,78.0,22.29,731.0,30.0,4.9,24.37,30.0
Anamul Haque,Bangladesh,202.0,0.0,2.0,99.51,33.67,0.0,0.0,0.0,0.0,0.0
Anderson Phillip,West Indies,22.0,0.0,0.0,88.0,22.0,65.0,2.0,6.5,32.5,30.0
Andile Phehlukwayo,South Africa,11.0,0.0,0.0,37.93,3.67,190.0,7.0,5.8,27.14,28.29
Andy Balbirnie,Ireland,214.0,1.0,1.0,74.31,30.57,0.0,0.0,0.0,0.0,0.0
Andy McBrine,Ireland,228.0,0.0,1.0,68.06,28.5,381.0,13.0,4.7,29.31,37.38
Angelo Mathews,Sri Lanka,18.0,0.0,0.0,72.0,18.0,0.0,0.0,0.0,0.0,0.0
Anrich Nortje,South Africa,6.0,0.0,0.0,46.15,3.0,307.0,12.0,6.7,25.58,23.08
Ashen Bandara,Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashton Agar,Australia,38.0,0.0,0.0,82.61,12.67,224.0,6.0,5.0,37.33,45.0
Avesh Khan,India,13.0,0.0,0.0,72.22,6.5,214.0,3.0,6.1,71.33,70.67
Avishka Fernando,Sri Lanka,26.0,0.0,0.0,78.79,8.67,0.0,0.0,0.0,0.0,0.0
Axar Patel,India,231.0,0.0,2.0,112.68,33.0,413.0,13.0,4.9,31.77,39.0
Azmatullah Omarzai,Afghanistan,18.0,0.0,0.0,58.06,9.0,132.0,3.0,4.3,44.0,62.0
Babar Azam,Pakistan,606.0,3.0,4.0,88.86,75.75,0.0,0.0,0.0,0.0,0.0
Ben Duckett,England,23.0,0.0,0.0,54.76,7.67,0.0,0.0,0.0,0.0,0.0
Ben McDermott,Australia,195.0,1.0,1.0,85.53,65.0,0.0,0.0,0.0,0.0,0.0
Ben Stokes,England,53.0,0.0,0.0,82.81,13.25,59.0,0.0,7.4,0.0,0.0
Bhuvneshwar Kumar,India,4.0,0.0,0.0,36.36,4.0,131.0,0.0,7.3,0.0,0.0
Bjorn Fortuin,South Africa,2.0,0.0,0.0,25.0,1.0,175.0,6.0,5.6,29.17,31.0
Blair Tickner,New Zealand,9.0,0.0,0.0,64.29,9.0,368.0,9.0,6.9,40.89,35.89
Blessing Muzarabani,Zimbabwe,24.0,0.0,0.0,48.98,4.8,289.0,12.0,5.1,24.08,28.25
Brad Evans,Zimbabwe,101.0,0.0,0.0,84.87,14.43,431.0,11.0,6.4,39.18,36.82
Brandon King,West Indies,277.0,0.0,2.0,74.46,18.47,0.0,0.0,0.0,0.0,0.0
Brydon Carse,England,34.0,0.0,0.0,75.56,11.33,161.0,3.0,5.9,53.67,55.33
Cameron Green,Australia,281.0,0.0,1.0,89.78,56.2,350.0,11.0,4.9,31.82,38.73
Chad Bowes,New Zealand,14.0,0.0,0.0,93.33,14.0,0.0,0.0,0.0,0.0,0.0
Chamika Karunaratne,Sri Lanka,219.0,0.0,1.0,84.88,21.9,450.0,18.0,6.0,25.0,25.0
Chamu Chibhabha,Zimbabwe,40.0,0.0,0.0,72.73,40.0,0.0,0.0,0.0,0.0,0.0
Charith Asalanka,Sri Lanka,474.0,1.0,3.0,92.22,39.5,53.0,0.0,5.3,0.0,0.0
Chris Jordan,England,14.0,0.0,0.0,77.78,14.0,49.0,1.0,7.0,49.0,42.0
Chris Woakes,England,71.0,0.0,0.0,73.96,14.2,270.0,5.0,5.4,54.0,60.2
Clive Madande,Zimbabwe,42.0,0.0,0.0,68.85,21.0,0.0,0.0,0.0,0.0,0.0
Craig Ervine,Zimbabwe,200.0,0.0,1.0,78.43,28.57,0.0,0.0,0.0,0.0,0.0
Craig Overton,England,50.0,0.0,0.0,86.21,25.0,110.0,1.0,5.8,110.0,114.0
Craig Young,Ireland,11.0,0.0,0.0,78.57,3.67,312.0,12.0,6.4,26.0,24.75
Curtis Campher,Ireland,164.0,0.0,0.0,71.93,16.4,350.0,8.0,5.7,43.75,45.88
